ip	port	asn_desc
180.180.171.113	4145	TOT-NET TOT Public Company Limited
180.190.184.82	8080	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.190.187.41	5050	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.190.189.248	8082	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.190.238.62	8080	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.190.24.218	8080	GLOBE-TELECOM-AS Globe Telecoms
180.191.122.190	8181	GLOBE-TELECOM-AS Globe Telecoms
180.191.14.210	8081	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.191.153.87	5050	GLOBE-TELECOM-AS Globe Telecoms
180.191.16.9	8085	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.191.2.166	8081	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.191.22.197	8080	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.191.23.171	8081	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.191.23.47	8082	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.191.231.46	8082	GLOBE-TELECOM-AS Globe Telecoms
180.191.255.109	8080	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.191.255.240	8081	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.191.36.250	8081	GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.
180.94.64.58	8080	GCN-DCN-AS AFGHANTELECOM GOVERNMENT COMMUNICATION NETWORK
181.10.160.157	8080	Telecom Argentina S.A.
181.10.200.154	3128	Telecom Argentina S.A.
181.10.204.85	999	Telecom Argentina S.A.
181.113.135.254	50083	CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
181.113.135.254	52058	CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
181.12.99.204	8080	Telecom Argentina S.A.
181.129.139.13	999	UNE EPM TELECOMUNICACIONES S.A.
181.129.144.61	3629	UNE EPM TELECOMUNICACIONES S.A.
181.129.182.138	5678	UNE EPM TELECOMUNICACIONES S.A.
181.129.182.186	999	UNE EPM TELECOMUNICACIONES S.A.
181.129.208.27	999	UNE EPM TELECOMUNICACIONES S.A.
181.129.252.124	999	UNE EPM TELECOMUNICACIONES S.A.
181.129.43.3	8080	UNE EPM TELECOMUNICACIONES S.A.
181.129.52.154	42648	UNE EPM TELECOMUNICACIONES S.A.
181.129.62.2	39843	UNE EPM TELECOMUNICACIONES S.A.
181.129.62.2	47377	UNE EPM TELECOMUNICACIONES S.A.
181.129.70.82	46752	UNE EPM TELECOMUNICACIONES S.A.
181.129.74.58	30431	UNE EPM TELECOMUNICACIONES S.A.
181.13.198.90	4153	Telecom Argentina S.A.
181.13.254.54	999	Telecom Argentina S.A.
181.143.143.125	999	UNE EPM TELECOMUNICACIONES S.A.
181.143.191.138	999	UNE EPM TELECOMUNICACIONES S.A.
181.143.207.10	33333	UNE EPM TELECOMUNICACIONES S.A.
181.143.21.146	4153	UNE EPM TELECOMUNICACIONES S.A.
181.143.228.106	30673	UNE EPM TELECOMUNICACIONES S.A.
181.143.233.10	999	UNE EPM TELECOMUNICACIONES S.A.
181.143.59.140	4153	UNE EPM TELECOMUNICACIONES S.A.
